Species1,Species2,Distance
5K16,5K5,0.02323232
5K17,5K5,0.02188552
5K18,5K5,0.02457912
5K19,5K5,0.03602694
5K2,5K5,0.02525253
5K20,5K5,0.02615039
5K21,5K5,0.02704826
5K22,5K5,0.02538721
5K23,5K5,0.03097643
5K3,5K5,0.02390572
5K4,5K5,0.01245791
5E1,5K6,0.0345679
5A1,5K6,0.03636364
5A2,5K6,0.05400673
5A3,5K6,0.05521886
5B1,5K6,0.04377104
5B2,5K6,0.04511785
5B3,5K6,0.04354658
5B4,5K6,0.03809524
5B5,5K6,0.0526749
5B6,5K6,0.05420875
5B7,5K6,0.05350474
5C1,5K6,0.04869121
5D1,5K6,0.0365881
5D2,5K6,0.04579125
5F1,5K6,0.04870932
5G1,5K6,0.04466891
5H1,5K6,0.04107744
5H2,5K6,0.03142536
5I1,5K6,0.0483352
5J1,5K6,0.06868687
5J2,5K6,0.06094276
5K1,5K6,0.01952862
5K10,5K6,0.03367003
5K11,5K6,0.04242424
5K12,5K6,0.0234627
5K13,5K6,0.02424242
5K14,5K6,0.03030303
5K15,5K6,0.02424242
5K16,5K6,0.02558923
5K17,5K6,0.02356902
5K18,5K6,0.02626263
5K19,5K6,0.03905724
5K2,5K6,0.02828283
5K20,5K6,0.0291807
5K21,5K6,0.03007856
5K22,5K6,0.02882155
5K23,5K6,0.03400673
5K3,5K6,0.02558923
5K4,5K6,0.01414141
5K5,5K6,0.01178451
5E1,5K7,0.04074074
5A1,5K7,0.03737374
5A2,5K7,0.05488215
5A3,5K7,0.05420875
5B1,5K7,0.04680135
5B2,5K7,0.04983165
5B3,5K7,0.05263749
5B4,5K7,0.04401154
5B5,5K7,0.0590722
5B6,5K7,0.05858586
5B7,5K7,0.05922865
5C1,5K7,0.04927859
5D1,5K7,0.04074074
5D2,5K7,0.04949495
5F1,5K7,0.05353535
5G1,5K7,0.05016835
5H1,5K7,0.04612795
5H2,5K7,0.03849607
5I1,5K7,0.05323606
5J1,5K7,0.07441077
5J2,5K7,0.06531987
5K1,5K7,0.03063973
5K10,5K7,0.02659933
5K11,5K7,0.03670034
5K12,5K7,0.02496899
5K13,5K7,0.02525253
5K14,5K7,0.03265993
5K15,5K7,0.02525253
5K16,5K7,0.02794613
5K17,5K7,0.02659933
5K18,5K7,0.03131313
5K19,5K7,0.03804714
5K2,5K7,0.03535354
5K20,5K7,0.0315376
